title,address,advertiser,link,terrace,m2,rooms,price
Penthouse mit Fernblick / ERSTBEZUG,"1220 Wien, 22. Bezirk, Donaustadt, Erzherzog-Karl-Straße 134 A",Consulting Company Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/penthouse-mit-fernblick-erstbezug-1501594059/,Terrasse,75.0,3.0,1594.89
Hofseitige 2-Zimmer Wohnung nahe Wielandpark in 1100 Wien zu mieten,"1100 Wien, 10. Bezirk, Favoriten",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/hofseitige-2-zimmer-wohnung-nahe-wielandpark-in-1100-wien-zu-mieten-1186919100/,,51.0,2.0,890.0
"Zwischen Wien und Wein - ""Flori Flats"": Ihr neues Zuhause in idyllischer Wohngegend","1210 Wien, 21. Bezirk, Floridsdorf, Edi-Finger-Straße",EHL Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/zwischen-wien-und-wein-flori-flats-ihr-neues-zuhause-in-idyllischer-wohngegend-718841763/,"Terrasse, Loggia, Garten",48.0,2.0,820.0
"Mietwohnung genießen, Kaufoption nutzen: Wohnen in Stammersdorfer Naturkulisse","1210 Wien, 21. Bezirk, Floridsdorf, Edi-Finger-Straße",EHL Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/mietwohnung-geniessen-kaufoption-nutzen-wohnen-in-stammersdorfer-naturkulisse-718841765/,"Loggia, Garten",67.0,3.0,1050.0
Westseitige 2-Zimmer Wohnung nahe Wielandpark in 1100 Wien zu mieten,"1100 Wien, 10. Bezirk, Favoriten",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/westseitige-2-zimmer-wohnung-nahe-wielandpark-in-1100-wien-zu-mieten-820571059/,,47.0,2.0,830.0
Wunderbare 2-Zimmer Wohnung nahe Wielandpark in 1100 Wien zu mieten,"1100 Wien, 10. Bezirk, Favoriten",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/wunderbare-2-zimmer-wohnung-nahe-wielandpark-in-1100-wien-zu-mieten-1301659749/,,47.0,2.0,850.0
2-Zimmer-Dachgeschoßwohnung mit Terrasse/Balkon - Erstbezug in Grünruhelage - in 1210 Wien zu mieten,"1210 Wien, 21. Bezirk, Floridsdorf",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/2-zimmer-dachgeschosswohnung-mit-terrasse-balkon-erstbezug-in-gruenruhelage-in-1210-wien-zu-mieten-1447365193/,Balkon,40.0,2.0,879.0
Stunning flat next to the danube! Welcome home at the DANUBEVIEW!,"1220 Wien, 22. Bezirk, Donaustadt",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/stunning-flat-next-to-the-danube-welcome-home-at-the-danubeview-2046078707/,,32.0,1.0,890.0
Dachterrassenwohnung Schönbrunner Straße 170 - Stiege 1 Top 16!,"1120 Wien, 12. Bezirk, Meidling, Schönbrunner Straße 170",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/dachterrassenwohnung-schoenbrunner-strasse-170-stiege-1-top-16-975412445/,"Balkon, Dachterrasse",61.0,2.0,902.0
Gepflegte 2-Zimmer Wohnung nahe Antonspark in 1100 Wien zu mieten,"1100 Wien, 10. Bezirk, Favoriten",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/gepflegte-2-zimmer-wohnung-nahe-antonspark-in-1100-wien-zu-mieten-2121600346/,,49.0,2.0,890.0
1 Monat Mietfrei: Erstbezug im Grünen Nahe der U2 - zwischen Badeteich Hirschstetten und Seestadt,"1220 Wien, 22. Bezirk, Donaustadt, Pfalzgasse 29",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/1-monat-mietfrei-erstbezug-im-gruenen-nahe-der-u2-zwischen-badeteich-hirschstetten-und-seestadt-917462088/,Balkon,78.0,4.0,1699.01
"Es ist im Grünem __es ist leistbar 449,31 EUR Bruttomiete __ es ist erfreulich","1130 Wien, 13. Bezirk, Hietzing",gross & klein Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/es-ist-im-gruenem-es-ist-leistbar-449-31-eur-bruttomiete-es-ist-erfreulich-1218170197/,,35.0,1.0,449.31
Erstbezug: 2-Zimmer-Wohnung mit Loggia/Balkon - in Grünruhelage in 1210 Wien zu mieten,"1210 Wien, 21. Bezirk, Floridsdorf",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/erstbezug-2-zimmer-wohnung-mit-loggia-balkon-in-gruenruhelage-in-1210-wien-zu-mieten-1103227099/,Balkon,53.0,2.0,999.0
Gepflegte 2-Zimmer Wohnung nahe Antonspark in 1100 Wien zu mieten,"1100 Wien, 10. Bezirk, Favoriten",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/gepflegte-2-zimmer-wohnung-nahe-antonspark-in-1100-wien-zu-mieten-1494607902/,,55.0,2.0,997.94
Sonnendurchflutete 2-Zimmer-Wohnung mit Balkon in Donaunähe!,"1200 Wien, 20. Bezirk, Brigittenau, Leystraße",RAAB&RAAB Makler/Innen GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1200-brigittenau/sonnendurchflutete-2-zimmer-wohnung-mit-balkon-in-donaunaehe-1651165638/,"Terrasse, Balkon",51.0,2.0,1029.55
Moderne 1-Zimmer-Wohnung im Herzen von Wien! Kurzzeitvermietung!,"1100 Wien, 10. Bezirk, Favoriten, Gellertgasse 25",Vivoreal Hausverwaltung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/moderne-1-zimmer-wohnung-im-herzen-von-wien-kurzzeitvermietung-1806810026/,,29.0,1.0,740.0
STUDENTENHIT: KOMPLETT MÖBLIERTE 2-ZIMMER-WOHNUNG / WG-TAUGLICH / SUPER ANBINDUNG / BALKON,"1050 Wien, 05. Bezirk, Margareten",Deutsch Realitäten e.U.,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/studentenhit-komplett-moeblierte-2-zimmer-wohnung-wg-tauglich-super-anbindung-balkon-1449272356/,Balkon,70.0,2.0,1290.47
1 Monat Mietfrei: Erstbezug im Grünen Nahe der U2 - zwischen Badeteich Hirschstetten und Seestadt,"1220 Wien, 22. Bezirk, Donaustadt, Pfalzgasse 29",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/1-monat-mietfrei-erstbezug-im-gruenen-nahe-der-u2-zwischen-badeteich-hirschstetten-und-seestadt-1671560474/,Balkon,38.0,2.0,829.0
1 Monat Mietfrei: Erstbezug im Grünen Nahe der U2 - zwischen Badeteich Hirschstetten und Seestadt,"1220 Wien, 22. Bezirk, Donaustadt, Pfalzgasse 29",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/1-monat-mietfrei-erstbezug-im-gruenen-nahe-der-u2-zwischen-badeteich-hirschstetten-und-seestadt-1650264543/,Balkon,38.0,2.0,829.0
Großzügige 2-Zimmer Wohnung am Musilplatz in 1160 Wien zu mieten,"1160 Wien, 16. Bezirk, Ottakring",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/grosszuegige-2-zimmer-wohnung-am-musilplatz-in-1160-wien-zu-mieten-1323676635/,,53.0,2.0,900.0
Außergewöhnliche 4-Zimmer Wohnung mit Terrasse im Dachgeschoß in 1010 Wien zu mieten,"1010 Wien, 01. Bezirk, Innere Stadt",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/aussergewoehnliche-4-zimmer-wohnung-mit-terrasse-im-dachgeschoss-in-1010-wien-zu-mieten-1517238230/,Terrasse,177.0,4.0,4749.29
Herrschaftliche Altbauwohnung in schönem Jugendstilhaus - unbefristet zu mieten in 1010 Wien,"1010 Wien, 01. Bezirk, Innere Stadt",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/herrschaftliche-altbauwohnung-in-schoenem-jugendstilhaus-unbefristet-zu-mieten-in-1010-wien-1860440617/,Terrasse,197.0,4.0,4995.0
Attraktives Wohnen im 13. Bezirk Nähe Lainzer Tiergarten,"1130 Wien, 13. Bezirk, Hietzing, Auhofstraße 225-227",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/attraktives-wohnen-im-13-bezirk-naehe-lainzer-tiergarten-840074056/,,73.0,2.0,1050.0
WOHNEN MIT PARKBLICK! Millergasse 35/1/24,"1060 Wien, 06. Bezirk, Mariahilf, Millergasse 35",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1060-mariahilf/wohnen-mit-parkblick-millergasse-35-1-24-1180864843/,,43.0,2.0,849.95
1 Monat Mietfrei: Erstbezug im Grünen Nahe der U2 - zwischen Badeteich Hirschstetten und Seestadt,"1220 Wien, 22. Bezirk, Donaustadt, Pfalzgasse 29",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/1-monat-mietfrei-erstbezug-im-gruenen-nahe-der-u2-zwischen-badeteich-hirschstetten-und-seestadt-1308846596/,Balkon,38.0,2.0,829.0
Topsanierte DG-Wohnung mit 3-Zimmern | Einbauküche | Klima,"1220 Wien, 22. Bezirk, Donaustadt",RIWOG Real Estate Management GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/topsanierte-dg-wohnung-mit-3-zimmern-einbaukueche-klima-1363339076/,,63.0,3.0,899.0
| NACHVERMIETUNG | NEUBAU | BAUJAHR 2019 | GRÜNLAGE | RUHELAGE,"1230 Wien, 23. Bezirk, Liesing, Gregorygasse",DECUS Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1230-liesing/-nachvermietung-neubau-baujahr-2019-gruenlage-ruhelage-1860313520/,,,,
Direkt bei der U3 Kendlerstraße - Erstbezug in Innenhof-Ausrichtung mit großer Terrasse!,"1160 Wien, 16. Bezirk, Ottakring, Huttengasse 39-41",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/direkt-bei-der-u3-kendlerstrasse-erstbezug-in-innenhof-ausrichtung-mit-grosser-terrasse-2047979025/,"Terrasse, Balkon",100.0,5.0,2098.99
Erstbezugs-Gartenwohnung mit über 200m² Garten bei der U3 Kendlerstraße mit Küche!,"1160 Wien, 16. Bezirk, Ottakring, Huttengasse 39-41",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/erstbezugs-gartenwohnung-mit-ueber-200m-garten-bei-der-u3-kendlerstrasse-mit-kueche-876489988/,"Terrasse, Loggia, Garten",108.0,4.0,2299.0
1 Monat Mietfrei: Erstbezug im Grünen Nahe der U2 - zwischen Badeteich Hirschstetten und Seestadt,"1220 Wien, 22. Bezirk, Donaustadt, Pfalzgasse 29",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/1-monat-mietfrei-erstbezug-im-gruenen-nahe-der-u2-zwischen-badeteich-hirschstetten-und-seestadt-1723896265/,Balkon,38.0,2.0,829.0
1 Monat Mietfrei: Erstbezug im Grünen Nahe der U2 - zwischen Badeteich Hirschstetten und Seestadt,"1220 Wien, 22. Bezirk, Donaustadt, Pfalzgasse 29",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/1-monat-mietfrei-erstbezug-im-gruenen-nahe-der-u2-zwischen-badeteich-hirschstetten-und-seestadt-954325505/,Balkon,38.0,2.0,829.0
Kurzzeitvermietung! Schön möblierte 1-Zimmer-Wohnung mit Loggia!,"1100 Wien, 10. Bezirk, Favoriten, Gellertgasse 25",Vivoreal Hausverwaltung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/kurzzeitvermietung-schoen-moeblierte-1-zimmer-wohnung-mit-loggia-1560166100/,Loggia,26.0,1.0,750.0
Wiener Wohnkomfort - Balkon - Stilvolle Wohnung in bester Lage,"1070 Wien, 07. Bezirk, Neubau, Westbahnstraße",Arthur Real GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/wiener-wohnkomfort-balkon-stilvolle-wohnung-in-bester-lage-1669556210/,Balkon,125.0,4.0,2149.0
1 Monat Mietfrei: Erstbezug im Grünen Nahe der U2 - zwischen Badeteich Hirschstetten und Seestadt,"1220 Wien, 22. Bezirk, Donaustadt, Pfalzgasse 29",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/1-monat-mietfrei-erstbezug-im-gruenen-nahe-der-u2-zwischen-badeteich-hirschstetten-und-seestadt-968537777/,Balkon,38.0,2.0,829.0
3-Zimmer Maisonette-Wohnung mit Balkon und Garten-Terrasse!,"1140 Wien, 14. Bezirk, Penzing",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/3-zimmer-maisonette-wohnung-mit-balkon-und-garten-terrasse-2063789931/,"Terrasse, Balkon, Garten",85.0,3.0,1109.02
3 Zimmer Wohnung ++ Terrasse/Grünfläche ++ unbefristet!,"1140 Wien, 14. Bezirk, Penzing",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/3-zimmer-wohnung-terrasse-gruenflaeche-unbefristet-978770099/,"Terrasse, Garten",72.0,3.0,1129.36
1 Monat Mietfrei: Erstbezug im Grünen Nahe der U2 - zwischen Badeteich Hirschstetten und Seestadt,"1220 Wien, 22. Bezirk, Donaustadt, Pfalzgasse 29",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/1-monat-mietfrei-erstbezug-im-gruenen-nahe-der-u2-zwischen-badeteich-hirschstetten-und-seestadt-2033089937/,Balkon,38.0,2.0,829.0
1 Monat Mietfrei: Erstbezug im Grünen Nahe der U2 - zwischen Badeteich Hirschstetten und Seestadt,"1220 Wien, 22. Bezirk, Donaustadt, Pfalzgasse 29",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/1-monat-mietfrei-erstbezug-im-gruenen-nahe-der-u2-zwischen-badeteich-hirschstetten-und-seestadt-1807876363/,Balkon,71.0,3.0,1399.0
"Wohnung 2-Zimmer, Balkon 76m2, Geeignet für ein Paar","1210 Wien, 21. Bezirk, Floridsdorf, Kammelweg",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/wohnung-2-zimmer-balkon-76m2-geeignet-fuer-ein-paar-814185788/,Balkon,76.0,2.0,1108.0
Absolut ruhige 2 Zimmer Wohnung in genialer Lage | ZELLMANN IMMOBILIEN,"1030 Wien, 03. Bezirk, Landstraße",ZELLMANN IMMOBILIEN,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/absolut-ruhige-2-zimmer-wohnung-in-genialer-lage-zellmann-immobilien-1139977035/,,58.0,2.0,1121.8
Stylisches Studio mit Balkon & Wintergarten,"1190 Wien, 19. Bezirk, Döbling",Realkanzlei Mayerl - Pächterin Eva Krulis GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1190-doebling/stylisches-studio-mit-balkon-wintergarten-1895822953/,,65.0,,1725.55
"""Charmante 3 Zimmer Wohnung nahe Schönbrunn!""","1130 Wien, 13. Bezirk, Hietzing",RE/MAX Donau-City-Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/-charmante-3-zimmer-wohnung-nahe-schoenbrunn-2046768204/,,83.0,3.0,1200.01
"""licht-durchflutetes Wohnjuwel mit südseitiger ca. 16 m² Terrasse mit Weitblick über Wien""","1170 Wien, 17. Bezirk, Hernals",RE/MAX Donau-City-Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1170-hernals/-licht-durchflutetes-wohnjuwel-mit-suedseitiger-ca-16-m-terrasse-mit-weitblick-ueber-wien-1065599504/,Terrasse,130.0,4.0,2169.35
Vollmöblierte 50m2 Studiowohnung im 1. Bezirk mit Balkon,"1010 Wien, 01. Bezirk, Innere Stadt, Walfischgasse",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/vollmoeblierte-50m2-studiowohnung-im-1-bezirk-mit-balkon-1713350616/,Terrasse,50.0,1.0,1690.0
Ihr Wohntraum beim Kagraner Platz mit hochwertiger Ausstattung! - JETZT ZUSCHLAGEN,"1220 Wien, 22. Bezirk, Donaustadt, Donaufelder Straße 238",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/ihr-wohntraum-beim-kagraner-platz-mit-hochwertiger-ausstattung-jetzt-zuschlagen-1082642760/,Balkon,54.0,2.0,948.54
Ihr Wohntraum beim Kagraner Platz mit hochwertiger Ausstattung - JETZT ANFRAGEN,"1220 Wien, 22. Bezirk, Donaustadt, Donaufelder Straße 238",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/ihr-wohntraum-beim-kagraner-platz-mit-hochwertiger-ausstattung-jetzt-anfragen-1344923655/,,54.0,2.0,812.62
Ab 1.12! 2-Zimmer Wohnung im 24. Stock zu vermieten - direkt an U1 Station Aderklaaer Straße - Citygate! - JETZT ZUSCHLAGEN,"1210 Wien, 21. Bezirk, Floridsdorf, Seyringer Straße 5",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/ab-1-12-2-zimmer-wohnung-im-24-stock-zu-vermieten-direkt-an-u1-station-aderklaaer-strasse-citygate-jetzt-zuschlagen-1689713308/,"Balkon, Loggia",41.0,2.0,898.88
200m zur U1 Kagraner Platz - Moderne Neubauwohnung mit großer Wohnküche und hochwertiger Ausstattung. - WOHNTRAUM,"1220 Wien, 22. Bezirk, Donaustadt, Donaufelder Straße 238",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/200m-zur-u1-kagraner-platz-moderne-neubauwohnung-mit-grosser-wohnkueche-und-hochwertiger-ausstattung-wohntraum-1559707095/,Balkon,55.0,2.0,948.69
Ihr Wohntraum beim Kagraner Platz mit hochwertiger Ausstattung - JETZT ANFRAGEN,"1220 Wien, 22. Bezirk, Donaustadt, Donaufelder Straße 238",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/ihr-wohntraum-beim-kagraner-platz-mit-hochwertiger-ausstattung-jetzt-anfragen-1590405388/,Balkon,55.0,2.0,949.31
